Borough,lat,lng,name,categori,venue_lat,venue_lng,distance
Westminster,51.50010000000003,-0.128029999999967,The Cinnamon Club,Indian Restaurant,51.49749105618828,-0.12959288300972766,309
Westminster,51.50010000000003,-0.128029999999967,Chutney Mary,Indian Restaurant,51.50566173100024,-0.1386507201732926,961
Westminster,51.50010000000003,-0.128029999999967,Quilon,Indian Restaurant,51.49877248841534,-0.13752218091498283,674
Westminster,51.50010000000003,-0.128029999999967,Dishoom,Indian Restaurant,51.512383261762814,-0.12694895267486572,1369
Westminster,51.50010000000003,-0.128029999999967,Gymkhana,Indian Restaurant,51.508545278294704,-0.14142367023218483,1321
Westminster,51.50010000000003,-0.128029999999967,Veeraswamy,Indian Restaurant,51.51015700372755,-0.13773052028688532,1305
Westminster,51.50010000000003,-0.128029999999967,Kricket,Indian Restaurant,51.51072707918593,-0.13524373513060808,1284
Westminster,51.50010000000003,-0.128029999999967,Dishoom,Indian Restaurant,51.51307933813641,-0.13968944549560547,1655
Westminster,51.50010000000003,-0.128029999999967,Benares,Indian Restaurant,51.509667239923154,-0.14523434700718685,1598
Westminster,51.50010000000003,-0.128029999999967,Masala Zone,Indian Restaurant,51.51325264866744,-0.1229220815626003,1506
Westminster,51.50010000000003,-0.128029999999967,Jamavar,Indian Restaurant,51.510262929372345,-0.14827321030786877,1802
Westminster,51.50010000000003,-0.128029999999967,Punjab,Indian Restaurant,51.515065633626726,-0.12680893288408193,1668
Westminster,51.50010000000003,-0.128029999999967,Tamarind,Indian Restaurant,51.507029644728355,-0.14705395708634533,1527
Westminster,51.50010000000003,-0.128029999999967,The Kati Roll Company,Indian Restaurant,51.51513905984989,-0.13738198980131475,1795
Westminster,51.50010000000003,-0.128029999999967,Quirinale,Indian Restaurant,51.49700532251606,-0.12665337908765376,357
Westminster,51.50010000000003,-0.128029999999967,Tamarind Kitchen,Indian Restaurant,51.51471357985022,-0.13502662675970445,1697
Westminster,51.50010000000003,-0.128029999999967,Masala Zone Soho,Indian Restaurant,51.513324775297804,-0.13794917946471683,1624
Westminster,51.50010000000003,-0.128029999999967,Bombay Bustle,Indian Restaurant,51.512953452986906,-0.14219025372062952,1734
Westminster,51.50010000000003,-0.128029999999967,Cinnamon Bazaar,Indian Restaurant,51.51066261736212,-0.12373386930039994,1212
Westminster,51.50010000000003,-0.128029999999967,Woodlands Restaurant,Indian Restaurant,51.50960054761273,-0.13178168153152411,1089
Westminster,51.50010000000003,-0.128029999999967,Farzi Cafe,Indian Restaurant,51.508403,-0.132205,968
Westminster,51.50010000000003,-0.128029999999967,Horn OK Please,Indian Restaurant,51.50535760320381,-0.1163308389368467,999
Westminster,51.50010000000003,-0.128029999999967,India Club,Indian Restaurant,51.51162216145529,-0.11854926509938406,1441
Westminster,51.50010000000003,-0.128029999999967,Spicy Food Plus,Indian Restaurant,51.492308,-0.140099,1204
Westminster,51.50010000000003,-0.128029999999967,Chilli Ğ¡hutney,Indian Restaurant,51.50308135342487,-0.1158647568350921,905
Westminster,51.50010000000003,-0.128029999999967,Kanishka,Indian Restaurant,51.513094,-0.141759,1731
Westminster,51.50010000000003,-0.128029999999967,Taj  51 Buckingham Gate Suites & Residences,Hotel,51.49859750553769,-0.1374039555861322,670
Westminster,51.50010000000003,-0.128029999999967,DUM Biriyani House,Indian Restaurant,51.51536243650101,-0.13548183988306498,1775
Westminster,51.50010000000003,-0.128029999999967,Maharaja of India,Indian Restaurant,51.5102506284175,-0.12833512570820163,1130
Westminster,51.50010000000003,-0.128029999999967,Indian Diner,Indian Restaurant,51.494615434061494,-0.13651753920323462,847
Westminster,51.50010000000003,-0.128029999999967,Kennington Tandoori,Indian Restaurant,51.48807180773402,-0.1113593000390383,1768
Westminster,51.50010000000003,-0.128029999999967,Malabar Junction,Indian Restaurant,51.51756225277521,-0.12919495209264895,1945
Westminster,51.50010000000003,-0.128029999999967,Pimlico Tandoori,Indian Restaurant,51.48902534369247,-0.136753957634345,1373
Westminster,51.50010000000003,-0.128029999999967,Gandhi's,Indian Restaurant,51.48726680342983,-0.11138244461897584,1836
Westminster,51.50010000000003,-0.128029999999967,COYA London,Latin American Restaurant,51.50430866903813,-0.14774130664594515,1443
Westminster,51.50010000000003,-0.128029999999967,Talli Joe,Indian Restaurant,51.51385167361609,-0.12819770204577977,1530
Westminster,51.50010000000003,-0.128029999999967,Raj Tandoori,Indian Restaurant,51.51480384921771,-0.13589714198002176,1725
Westminster,51.50010000000003,-0.128029999999967,Royals Indian Cuisine,Indian Restaurant,51.51391986616573,-0.123601652420733,1568
Westminster,51.50010000000003,-0.128029999999967,The Delhi Brasserie,Indian Restaurant,51.51331558986075,-0.13127962119990086,1488
Westminster,51.50010000000003,-0.128029999999967,Gopal's of Soho,Indian Restaurant,51.513811977213294,-0.13237313212983495,1555
Westminster,51.50010000000003,-0.128029999999967,New Jomuna,Indian Restaurant,51.492784946093046,-0.1405781007728177,1191
Westminster,51.50010000000003,-0.128029999999967,Paradise Indian Restaurant,Indian Restaurant,51.492035723735206,-0.13989643624998427,1217
Westminster,51.50010000000003,-0.128029999999967,Millbank Spice,Indian Restaurant,51.49011554979759,-0.1324812218326789,1153
Westminster,51.50010000000003,-0.128029999999967,Chillies Tandoori,Indian Restaurant,51.4986235009969,-0.10503716244488935,1601
Westminster,51.50010000000003,-0.128029999999967,Cafe Ishaq,Indian Restaurant,51.49720347080815,-0.11179503184681971,1170
Westminster,51.50010000000003,-0.128029999999967,The Coriander,Indian Restaurant,51.48639771172518,-0.11967910337237399,1631
Westminster,51.50010000000003,-0.128029999999967,The Thames Restaurant,Indian Restaurant,51.50394774265021,-0.11190870127239948,1196
Westminster,51.50010000000003,-0.128029999999967,Indian Brasserie,Indian Restaurant,51.51087923308819,-0.13267278671264648,1242
Westminster,51.50010000000003,-0.128029999999967,Tandoor Chop House,North Indian Restaurant,51.50919205694273,-0.12563829447742592,1025
Westminster,51.50010000000003,-0.128029999999967,Hankies,Indian Restaurant,51.51214792114642,-0.13183527593035993,1366
Westminster,51.50010000000003,-0.128029999999967,Tandoori Nights,Indian Restaurant,51.5151400110005,-0.121660094999584,1731
Westminster,51.50010000000003,-0.128029999999967,The Curry Room,Indian Restaurant,51.4982903,-0.1435427,1093
Westminster,51.50010000000003,-0.128029999999967,Spicy World,Indian Restaurant,51.493842619227266,-0.1405489967483269,1112
Westminster,51.50010000000003,-0.128029999999967,Bhatti,Indian Restaurant,51.514970045576646,-0.12168860688874682,1712
Westminster,51.50010000000003,-0.128029999999967,Spice of India,Indian Restaurant,51.50287631640205,-0.1079175533398144,1427
Westminster,51.50010000000003,-0.128029999999967,Maharaja Tandoori,Indian Restaurant,51.5107991058611,-0.1353013515472412,1293
Westminster,51.50010000000003,-0.128029999999967,Shaheen Tandori,Indian Restaurant,51.5000815026761,-0.10749336218840776,1423
Westminster,51.50010000000003,-0.128029999999967,New Taj Mahal,Indian Restaurant,51.506188,-0.146194,1429
Westminster,51.50010000000003,-0.128029999999967,Shapur Indian Restaurant,Indian Restaurant,51.51150689149121,-0.11841416358947753,1433
Westminster,51.50010000000003,-0.128029999999967,Pimlico Spice,Indian Restaurant,51.48735584225961,-0.14316558837890625,1764
Westminster,51.50010000000003,-0.128029999999967,The Grand Indian,Indian Restaurant,51.51109845704908,-0.1263445519911985,1229
Westminster,51.50010000000003,-0.128029999999967,Zabardast,Indian Restaurant,51.506492,-0.103502,1842
Westminster,51.50010000000003,-0.128029999999967,Strand Tandoori,Indian Restaurant,51.51016534416163,-0.12388041718666738,1156
Westminster,51.50010000000003,-0.128029999999967,Zest,Indian Restaurant,51.513842,-0.110063,1972
Westminster,51.50010000000003,-0.128029999999967,Chilli Shaker,Indian Restaurant,51.510757757239126,-0.1343675388666822,1265
Westminster,51.50010000000003,-0.128029999999967,Italian Kitchen,Indian Restaurant,51.51713783370833,-0.1254220863226059,1905
Westminster,51.50010000000003,-0.128029999999967,The Golden Oven,Indian Restaurant,51.51416,-0.13126,1581
Westminster,51.50010000000003,-0.128029999999967,The Southbank Tandoori Ltd,Indian Restaurant,51.50323402251272,-0.10674954828245664,1515
Westminster,51.50010000000003,-0.128029999999967,Cafe Chutney,CafÃ©,51.51191797354961,-0.12246874964558901,1370
Westminster,51.50010000000003,-0.128029999999967,Dirty Martini,Cocktail Bar,51.51223166678957,-0.12202420743502979,1413
Westminster,51.50010000000003,-0.128029999999967,Little Kolkata,North Indian Restaurant,51.514363,-0.124064,1611
Westminster,51.50010000000003,-0.128029999999967,Saravanaa Bhavan,South Indian Restaurant,51.510256242420176,-0.12842933215746546,1130
Westminster,51.50010000000003,-0.128029999999967,Fatt Pundit,Indian Chinese Restaurant,51.51448,-0.135812,1689
Westminster,51.50010000000003,-0.128029999999967,DUM Biriyani House,Indian Restaurant,51.51536243650101,-0.13548183988306498,1775
Westminster,51.50010000000003,-0.128029999999967,Chutney Mary,Indian Restaurant,51.50566173100024,-0.1386507201732926,961
Westminster,51.50010000000003,-0.128029999999967,Kricket,Indian Restaurant,51.51072707918593,-0.13524373513060808,1284
Westminster,51.50010000000003,-0.128029999999967,Cinnamon Bazaar,Indian Restaurant,51.51066261736212,-0.12373386930039994,1212
Westminster,51.50010000000003,-0.128029999999967,Tamarind,Indian Restaurant,51.507029644728355,-0.14705395708634533,1527
Westminster,51.50010000000003,-0.128029999999967,Tamarind Kitchen,Indian Restaurant,51.51471357985022,-0.13502662675970445,1697
Westminster,51.50010000000003,-0.128029999999967,Kanishka,Indian Restaurant,51.513094,-0.141759,1731
Westminster,51.50010000000003,-0.128029999999967,Masala Zone Soho,Indian Restaurant,51.513324775297804,-0.13794917946471683,1624
Westminster,51.50010000000003,-0.128029999999967,Talli Joe,Indian Restaurant,51.51385167361609,-0.12819770204577977,1530
Westminster,51.50010000000003,-0.128029999999967,Duck and Rice,Chinese Restaurant,51.51343504029552,-0.1349022104208896,1558
Westminster,51.50010000000003,-0.128029999999967,Wok to Walk,Noodle House,51.51160950457307,-0.12775868911232122,1281
Westminster,51.50010000000003,-0.128029999999967,Masala Zone Soho,Indian Restaurant,51.513324775297804,-0.13794917946471683,1624
Westminster,51.50010000000003,-0.128029999999967,Fatt Pundit,Indian Chinese Restaurant,51.51448,-0.135812,1689
Westminster,51.50010000000003,-0.128029999999967,Masala Zone,Indian Restaurant,51.51325264866744,-0.1229220815626003,1506
Westminster,51.50010000000003,-0.128029999999967,Punjab,Indian Restaurant,51.515065633626726,-0.12680893288408193,1668
Westminster,51.50010000000003,-0.128029999999967,Tandoor Chop House,North Indian Restaurant,51.50919205694273,-0.12563829447742592,1025
Westminster,51.50010000000003,-0.128029999999967,Dishoom,Indian Restaurant,51.512383261762814,-0.12694895267486572,1369
Westminster,51.50010000000003,-0.128029999999967,Punjab,Indian Restaurant,51.515065633626726,-0.12680893288408193,1668
Westminster,51.50010000000003,-0.128029999999967,Little Kolkata,North Indian Restaurant,51.514363,-0.124064,1611
Westminster,51.50010000000003,-0.128029999999967,Talli Joe,Indian Restaurant,51.51385167361609,-0.12819770204577977,1530
Westminster,51.50010000000003,-0.128029999999967,Quilon,Indian Restaurant,51.49877248841534,-0.13752218091498283,674
Westminster,51.50010000000003,-0.128029999999967,Dishoom,Indian Restaurant,51.512383261762814,-0.12694895267486572,1369
Westminster,51.50010000000003,-0.128029999999967,Woodlands Restaurant,Indian Restaurant,51.50960054761273,-0.13178168153152411,1089
Westminster,51.50010000000003,-0.128029999999967,Malabar Junction,Indian Restaurant,51.51756225277521,-0.12919495209264895,1945
Westminster,51.50010000000003,-0.128029999999967,Saravanaa Bhavan,South Indian Restaurant,51.510256242420176,-0.12842933215746546,1130
